PROM_ACT	D_EDAD	D_FINCON	PORC_DES	HIST_P	D_DURAC	TPROM4_2	MMODELO	TDEUDA	REGION_3	ADQUISI1	REST_AG1	RTIP_CTA	RESTADO	
115	145	585	1	4	3	2	2	1	1	2	1	3	1	
43	346	384	0	2	3	1	1	1	1	1	3	3	1	
47	343	387	0	1	3	1	1	1	1	1	3	1	0	
16	335	395	0	1	3	2	1	1	1	1	3	3	0	
5	311	419	0	1	3	1	1	1	1	1	3	3	0	
33	294	436	0	1	3	1	1	1	1	1	1	1	0	
8	283	447	0	2	3	1	2	1	1	2	3	3	0	
50	263	467	0	2	3	1	1	3	1	1	1	1	0	
257	248	482	0	2	3	1	1	2	1	3	1	3	0	
27	228	502	0	2	3	1	1	2	1	1	3	3	0	
48	438	292	0	1	3	1	2	1	1	2	1	3	0	
342	210	520	0	1	3	1	1	1	1	2	1	3	0	
49	178	552	0	1	3	2	1	1	1	2	1	3	0	
10	148	582	1	1	3	1	3	1	1	2	1	1	0	
100	143	587	0	1	3	1	3	1	1	2	1	3	0	
37	129	601	1	1	3	2	1	1	1	2	3	3	0	
248	128	602	0	2	3	1	3	2	1	3	3	3	0	
153	904	191	0	1	1	1	2	1	1	3	2	1	0	
188	877	218	0	1	1	1	3	2	1	3	3	1	0	
212	537	193	0	5	1	3	2	3	1	3	3	1	1	
23	762	333	1	1	1	1	1	1	1	3	3	1	0	
39	486	244	2	1	3	3	1	1	1	2	1	1	1	
166	559	171	0	1	1	3	1	1	1	2	2	3	1	
99	634	462	0	2	2	3	2	1	1	3	2	1	1	
113	566	164	0	1	3	1	2	1	1	3	1	1	0	
361	566	164	0	1	3	1	1	1	1	3	1	1	0	
37	562	168	0	1	3	1	2	1	1	3	2	1	0	
8	556	174	0	1	3	1	1	1	1	3	1	1	0	
150	555	175	0	1	3	1	1	1	1	3	2	1	0	
119	554	176	0	1	3	1	1	1	1	3	1	1	0	
112	554	176	0	1	3	1	2	1	1	3	1	1	0	
70	551	179	0	1	3	1	1	1	1	2	1	1	0	
183	551	179	0	1	3	2	1	1	1	3	1	1	0	
118	549	181	0	1	3	1	2	1	1	3	1	3	0	
2	546	184	0	1	3	2	1	1	1	3	1	3	0	
233	535	195	0	1	3	1	1	1	1	3	1	1	0	
2	529	201	0	1	3	3	1	2	1	3	2	3	0	
27	515	215	0	1	3	1	2	1	1	1	2	1	0	
87	509	221	0	1	3	1	2	1	1	3	2	1	0	
0	325	405	0	3	3	3	3	1	1	3	2	1	1	
325	489	241	0	1	3	1	1	1	1	1	2	1	0	
100	396	334	0	1	3	2	2	1	1	2	1	3	0	
237	522	208	0	7	3	1	2	1	1	3	2	2	1	
426	190	175	0	7	1	1	2	1	1	3	2	3	1	
35	481	249	0	7	1	3	2	2	1	3	2	1	1	
156	864	231	0	2	1	2	1	1	1	3	2	1	0	
76	840	255	0	1	1	1	1	1	1	3	2	1	0	
7	761	334	0	5	1	3	3	2	1	3	1	3	1	
7	750	345	0	2	1	3	1	1	1	3	2	1	0	
20	644	86	0	1	3	1	3	1	1	3	2	3	0	
75	620	110	0	2	3	2	1	1	1	3	3	1	0	
7	591	139	1	1	3	3	3	2	1	3	2	3	0	
31	584	146	0	1	3	1	1	1	1	1	2	1	0	
99	554	176	0	1	3	1	1	1	1	3	1	3	0	
45	554	176	0	1	3	2	1	1	1	3	1	3	0	
31	549	181	0	1	3	1	1	1	1	3	1	1	0	
87	543	187	0	1	3	2	2	1	1	3	1	3	0	
166	509	221	0	4	3	2	1	3	1	1	2	1	1	
22	533	197	0	1	3	1	1	1	1	3	1	3	0	
16	526	204	0	1	3	1	2	1	1	3	1	3	0	
164	513	217	0	1	3	1	1	1	1	3	1	3	0	
40	504	226	0	1	3	1	2	1	1	1	3	3	0	
62	489	241	0	1	3	1	2	1	1	3	3	1	0	
123	468	262	0	1	3	2	1	1	1	3	1	1	0	
19	468	262	0	1	3	2	3	1	1	3	3	3	0	
87	415	315	0	1	3	1	2	1	1	3	1	1	0	
95	410	320	0	1	3	1	1	1	1	1	2	3	0	
70	378	352	0	3	3	1	2	2	1	2	1	1	0	
94	369	361	0	2	3	1	2	2	1	2	1	1	0	
13	305	425	0	1	3	2	1	1	1	1	1	3	0	
0	177	553	0	4	3	3	1	3	1	3	1	3	1	
139	239	491	0	1	3	1	1	1	1	1	2	1	0	
91	230	500	0	1	3	1	1	1	1	2	1	1	0	
140	225	505	0	1	3	1	1	2	1	2	1	3	0	
204	217	513	0	1	3	1	1	2	1	2	2	1	0	
96	214	516	0	1	3	2	1	1	1	2	1	3	0	
11	212	518	0	1	3	1	1	1	1	2	1	3	0	
68	207	523	0	2	3	1	1	2	1	2	3	1	0	
501	200	530	0	1	3	1	1	1	1	2	2	1	0	
36	199	531	0	1	3	2	1	1	1	1	2	1	0	
150	169	561	0	2	3	2	2	3	1	3	1	3	1	
38	162	568	0	1	3	2	1	1	1	2	1	1	0	
109	161	569	0	2	3	1	1	2	1	2	1	3	0	
289	153	577	0	1	3	2	1	1	1	2	1	3	0	
74	127	603	0	2	3	1	1	2	1	3	3	3	0	
23	127	603	1	2	3	1	1	3	1	3	1	3	0	
0	182	183	1	7	1	3	1	3	1	3	2	3	1	
39	876	219	1	1	1	1	3	1	1	3	3	1	0	
129	320	410	0	1	3	1	1	1	1	1	1	3	0	
47	305	425	0	2	3	1	1	2	1	1	1	3	0	
5	279	451	0	1	3	2	2	1	1	2	1	3	0	
40	265	465	0	1	3	1	1	1	1	2	3	1	0	
1029	931	529	0	2	3	1	1	1	1	3	3	1	0	
268	260	470	0	2	3	1	1	1	1	2	1	1	0	
125	225	505	0	1	3	2	1	1	1	2	1	1	0	
8	209	521	0	1	3	1	1	1	1	2	1	1	0	
27	205	525	0	1	3	1	1	1	1	2	1	3	0	
92	189	541	0	1	3	1	1	1	1	1	1	3	0	
95	172	558	0	2	3	1	2	1	1	2	1	3	0	
47	157	573	0	1	3	1	1	1	1	1	2	1	0	
60	143	587	0	1	3	1	1	1	1	1	1	3	0	
3	133	597	0	1	3	1	1	1	1	1	3	1	0	
36	130	600	0	1	3	2	1	1	1	2	1	1	0	
84	127	603	0	1	3	1	3	1	1	2	1	3	0	
17	135	595	1	1	3	1	3	1	1	2	1	3	0	
415	927	533	0	1	3	2	1	1	1	3	2	1	0	
198	199	166	0	7	1	2	1	3	2	3	2	1	1	
273	967	128	0	1	1	2	1	1	2	3	2	1	0	
295	967	128	0	2	1	2	1	1	2	3	2	1	0	
106	228	502	0	1	3	2	1	1	2	2	1	3	0	
246	1099	361	0	5	3	1	2	2	2	3	3	2	0	
115	1087	8	0	1	1	1	3	1	2	3	2	3	0	
